ID,Store_id,Store_Type,Location_Type,Region_Code,date,holiday,discount,order,sales,price
,每个商店的唯一ID,商店类型,商店所在地点的类型,商店所在地区的代码,关于日期的信息,指定日期有假期，1 ： 有，0 ： 无,商店在指定日期提供折扣，是/否,商店当天收到的订单数量,当天商店的总销售额,
T1000001,1,S1,L3,R1,2018/1/1,1,Yes,9,7011.84,779.0933333
T1000002,253,S4,L2,R1,2018/1/1,1,Yes,60,51789.12,863.152
T1000003,252,S3,L2,R1,2018/1/1,1,Yes,42,36868.2,877.8142857
T1000004,251,S2,L3,R1,2018/1/1,1,Yes,23,19715.16,857.1808696
T1000005,250,S2,L3,R4,2018/1/1,1,Yes,62,45614.52,735.7180645
T1000006,249,S1,L3,R2,2018/1/1,1,Yes,39,34211.22,877.2107692
T1000007,248,S1,L1,R2,2018/1/1,1,Yes,40,35352.66,883.8165
T1000008,247,S1,L1,R3,2018/1/1,1,Yes,64,52650,822.65625
T1000009,246,S3,L1,R3,2018/1/1,1,Yes,62,42633.78,687.6416129
T1000010,254,S4,L1,R1,2018/1/1,1,Yes,87,62572.8,719.2275862
T1000011,245,S4,L1,R2,2018/1/1,1,Yes,36,27468.21,763.0058333
T1000012,11,S4,L2,R1,2018/1/1,1,Yes,69,57590.4,834.6434783
T1000013,243,S4,L2,R2,2018/1/1,1,Yes,69,45563.25,660.3369565
T1000014,242,S4,L1,R1,2018/1/1,1,Yes,51,47322.9,927.9
T1000015,241,S1,L1,R4,2018/1/1,1,Yes,56,42889.89,765.8908929
T1000016,240,S3,L2,R3,2018/1/1,1,Yes,59,44319.33,751.1750847
T1000017,239,S3,L1,R3,2018/1/1,1,Yes,35,29781.84,850.9097143
T1000018,238,S1,L1,R2,2018/1/1,1,Yes,29,26906.61,927.8141379
T1000019,237,S2,L3,R3,2018/1/1,1,Yes,55,44858.67,815.6121818
T1000020,244,S2,L5,R4,2018/1/1,1,Yes,46,39193.2,852.026087
T1000021,236,S1,L1,R3,2018/1/1,1,Yes,36,32486.76,902.41
T1000022,255,S3,L2,R4,2018/1/1,1,Yes,63,47317.14,751.0657143
T1000023,256,S1,L2,R4,2018/1/1,1,Yes,78,69937.98,896.6407692
T1000024,273,S2,L3,R4,2018/1/1,1,Yes,42,31509.72,750.2314286
T1000025,272,S2,L4,R2,2018/1/1,1,Yes,48,33665.1,701.35625
T1000026,271,S1,L3,R2,2018/1/1,1,Yes,38,32686.08,860.16
T1000027,270,S1,L1,R2,2018/1/1,1,Yes,36,25696.5,713.7916667
T1000028,269,S1,L4,R1,2018/1/1,1,Yes,48,40115.7,835.74375
T1000029,268,S1,L2,R1,2018/1/1,1,Yes,75,57487.56,766.5008
T1000030,9,S1,L1,R1,2018/1/1,1,Yes,91,68205.15,749.5071429
T1000031,267,S4,L2,R1,2018/1/1,1,Yes,49,38205.6,779.7061224
T1000032,10,S4,L2,R3,2018/1/1,1,Yes,62,55628.1,897.2274194
T1000033,266,S1,L1,R4,2018/1/1,1,Yes,26,20329.92,781.92
T1000034,264,S3,L1,R3,2018/1/1,1,Yes,59,37365.6,633.3152542
T1000035,263,S1,L5,R1,2018/1/1,1,Yes,38,32964.75,867.4934211
T1000036,262,S1,L1,R1,2018/1/1,1,Yes,75,60220.8,802.944
T1000037,261,S4,L2,R1,2018/1/1,1,Yes,36,30555.72,848.77
T1000038,260,S1,L1,R4,2018/1/1,1,Yes,68,45532.8,669.6
T1000039,259,S4,L1,R1,2018/1/1,1,Yes,27,23307,863.2222222
T1000040,258,S2,L4,R4,2018/1/1,1,Yes,56,47018.07,839.6083929
T1000041,257,S1,L3,R1,2018/1/1,1,Yes,38,34259.04,901.5536842
T1000042,265,S2,L4,R2,2018/1/1,1,Yes,59,49953.75,846.6737288
T1000043,235,S1,L1,R3,2018/1/1,1,Yes,25,19381.86,775.2744
T1000044,234,S2,L4,R2,2018/1/1,1,Yes,29,20883.42,720.117931
T1000045,233,S1,L3,R3,2018/1/1,1,Yes,37,29574.12,799.3005405
T1000046,211,S4,L2,R1,2018/1/1,1,Yes,48,34419.6,717.075
T1000047,210,S1,L5,R1,2018/1/1,1,Yes,49,42340.38,864.0893878
T1000048,209,S1,L1,R1,2018/1/1,1,Yes,45,30317.16,673.7146667
T1000049,208,S3,L1,R1,2018/1/1,1,Yes,36,30996,861
T1000050,207,S1,L1,R3,2018/1/1,1,Yes,56,44996.4,803.5071429
T1000051,14,S3,L2,R4,2018/1/1,1,Yes,94,65685.87,698.7858511
T1000052,206,S1,L1,R1,2018/1/1,1,Yes,53,43776.72,825.9758491
T1000053,205,S1,L1,R2,2018/1/1,1,Yes,62,44984.79,725.561129
T1000054,212,S4,L2,R3,2018/1/1,1,Yes,73,48184.02,660.0550685
T1000055,204,S4,L1,R3,2018/1/1,1,Yes,29,22662.12,781.4524138
T1000056,202,S4,L2,R2,2018/1/1,1,Yes,91,59368.38,652.3997802
T1000057,201,S4,L1,R1,2018/1/1,1,Yes,31,31782.36,1025.237419
T1000058,200,S2,L1,R2,2018/1/1,1,Yes,35,30574.44,873.5554286
T1000059,199,S1,L1,R4,2018/1/1,1,Yes,78,60523.86,775.9469231
T1000060,198,S4,L2,R3,2018/1/1,1,Yes,36,29214.57,811.5158333
T1000061,197,S2,L5,R1,2018/1/1,1,Yes,45,47752.2,1061.16
T1000062,196,S1,L1,R3,2018/1/1,1,Yes,89,62712.57,704.635618
T1000063,195,S4,L1,R1,2018/1/1,1,Yes,53,44147.16,832.965283
T1000064,203,S2,L4,R2,2018/1/1,1,Yes,66,54358.92,823.62
T1000065,213,S1,L1,R2,2018/1/1,1,Yes,74,52198.74,705.3883784
T1000066,214,S1,L1,R4,2018/1/1,1,Yes,47,34936.44,743.3285106
T1000067,215,S3,L2,R1,2018/1/1,1,Yes,42,38221.05,910.025
T1000068,232,S1,L1,R4,2018/1/1,1,Yes,77,57121.2,741.8337662
T1000069,12,S1,L3,R2,2018/1/1,1,Yes,81,60415.08,745.8651852
T1000070,231,S4,L2,R3,2018/1/1,1,Yes,21,19131.12,911.0057143
T1000071,230,S2,L4,R4,2018/1/1,1,Yes,41,29291.25,714.4207317
T1000072,229,S1,L1,R2,2018/1/1,1,Yes,42,36057.06,858.5014286
T1000073,228,S1,L1,R1,2018/1/1,1,Yes,60,47128.77,785.4795
T1000074,227,S4,L2,R1,2018/1/1,1,Yes,37,29282.88,791.4291892
T1000075,226,S2,L5,R4,2018/1/1,1,Yes,61,52985.88,868.6209836
T1000076,225,S1,L1,R1,2018/1/1,1,Yes,49,40764,831.9183673
T1000077,224,S1,L2,R2,2018/1/1,1,Yes,58,43984.08,758.3462069
T1000078,223,S2,L5,R2,2018/1/1,1,Yes,118,85426.92,723.9569492
T1000079,222,S4,L2,R2,2018/1/1,1,Yes,44,33013.2,750.3
T1000080,221,S1,L1,R2,2018/1/1,1,Yes,27,22759.38,842.94
T1000081,220,S2,L4,R3,2018/1/1,1,Yes,121,76365.9,631.1231405
T1000082,219,S4,L2,R1,2018/1/1,1,Yes,32,22716.45,709.8890625
T1000083,13,S3,L3,R1,2018/1/1,1,Yes,49,37305.36,761.3338776
T1000084,218,S1,L3,R2,2018/1/1,1,Yes,83,60897.93,733.71
T1000085,217,S4,L1,R1,2018/1/1,1,Yes,29,22003.08,758.7268966
T1000086,216,S2,L5,R1,2018/1/1,1,Yes,48,43805.25,912.609375
T1000087,274,S4,L2,R4,2018/1/1,1,Yes,36,34322.4,953.4
T1000088,15,S4,L2,R1,2018/1/1,1,Yes,67,64258.2,959.0776119
T1000089,275,S4,L1,R1,2018/1/1,1,Yes,61,53352,874.6229508
T1000090,277,S1,L3,R1,2018/1/1,1,Yes,52,38706.3,744.3519231
T1000091,335,S1,L1,R3,2018/1/1,1,Yes,53,45119.04,851.3026415
T1000092,334,S3,L2,R2,2018/1/1,1,Yes,36,32145.9,892.9416667
T1000093,333,S1,L1,R3,2018/1/1,1,Yes,34,24754.86,728.0841176
T1000094,332,S2,L5,R1,2018/1/1,1,Yes,36,29683.2,824.5333333
T1000095,331,S1,L1,R4,2018/1/1,1,Yes,77,57279.96,743.8955844
T1000096,330,S4,L2,R1,2018/1/1,1,Yes,52,40680,782.3076923
T1000097,4,S1,L1,R2,2018/1/1,1,Yes,80,53615.52,670.194
T1000098,329,S4,L2,R3,2018/1/1,1,Yes,31,23546.25,759.5564516
T1000099,336,S4,L2,R1,2018/1/1,1,Yes,46,35696.43,776.0093478
T1000100,328,S1,L3,R1,2018/1/1,1,Yes,68,47319.39,695.8733824
T1000101,326,S3,L1,R1,2018/1/1,1,Yes,57,45271.74,794.2410526
T1000102,325,S3,L1,R2,2018/1/1,1,Yes,54,52690.5,975.75
T1000103,324,S1,L2,R3,2018/1/1,1,Yes,50,38299.5,765.99
T1000104,323,S1,L4,R1,2018/1/1,1,Yes,37,33062.61,893.5840541
T1000105,322,S2,L3,R4,2018/1/1,1,Yes,64,48916.8,764.325
T1000106,321,S3,L1,R2,2018/1/1,1,Yes,42,34763.19,827.695
T1000107,320,S2,L3,R2,2018/1/1,1,Yes,73,58579.92,802.4646575
T1000108,319,S3,L1,R2,2018/1/1,1,Yes,42,30477.6,725.6571429
T1000109,327,S4,L1,R3,2018/1/1,1,Yes,66,52701.12,798.5018182
T1000110,318,S1,L3,R2,2018/1/1,1,Yes,71,48639.12,685.0580282
T1000111,337,S4,L2,R1,2018/1/1,1,Yes,92,68021.46,739.3636957
T1000112,339,S4,L2,R1,2018/1/1,1,Yes,76,58770.84,773.3005263
T1000113,355,S2,L4,R2,2018/1/1,1,Yes,83,63463.14,764.6161446
T1000114,354,S4,L2,R1,2018/1/1,1,Yes,46,37962.45,825.2706522
T1000115,2,S3,L1,R3,2018/1/1,1,Yes,25,18137.52,725.5008
T1000116,353,S1,L3,R3,2018/1/1,1,Yes,73,55244.7,756.7767123
T1000117,352,S4,L1,R1,2018/1/1,1,Yes,41,31798.5,775.5731707
T1000118,351,S1,L4,R3,2018/1/1,1,Yes,42,33430.74,795.97
T1000119,350,S1,L3,R2,2018/1/1,1,Yes,46,36946.98,803.1952174
T1000120,349,S1,L1,R4,2018/1/1,1,Yes,63,42201,669.8571429
T1000121,338,S4,L2,R1,2018/1/1,1,Yes,111,73205.97,659.5132432
T1000122,348,S3,L1,R1,2018/1/1,1,Yes,48,41238.6,859.1375
T1000123,346,S4,L1,R1,2018/1/1,1,Yes,46,43654.38,949.0082609
T1000124,345,S1,L1,R3,2018/1/1,1,Yes,46,27731.55,602.8597826
T1000125,344,S1,L5,R1,2018/1/1,1,Yes,32,27976.41,874.2628125
T1000126,343,S1,L1,R2,2018/1/1,1,Yes,90,64035.72,711.508
T1000127,342,S4,L1,R1,2018/1/1,1,Yes,43,31415.55,730.594186
T1000128,3,S4,L2,R1,2018/1/1,1,Yes,72,57288,795.6666667
T1000129,341,S1,L1,R2,2018/1/1,1,Yes,70,55812.96,797.328
T1000130,340,S4,L2,R3,2018/1/1,1,Yes,84,61041.6,726.6857143
T1000131,347,S1,L1,R1,2018/1/1,1,Yes,83,57924,697.8795181
T1000132,317,S3,L1,R1,2018/1/1,1,Yes,67,54612,815.1044776
T1000133,5,S1,L1,R3,2018/1/1,1,Yes,47,36316.08,772.6825532
T1000134,316,S4,L2,R1,2018/1/1,1,Yes,132,86962.68,658.8081818
T1000135,293,S2,L4,R2,2018/1/1,1,Yes,34,28099.44,826.4541176
T1000136,7,S3,L1,R3,2018/1/1,1,Yes,72,53544.48,743.6733333
T1000137,292,S1,L1,R1,2018/1/1,1,Yes,43,29514.24,686.3776744
T1000138,291,S1,L3,R1,2018/1/1,1,Yes,38,28863.9,759.5763158
T1000139,290,S1,L1,R3,2018/1/1,1,Yes,24,21880.8,911.7
T1000140,289,S2,L5,R2,2018/1/1,1,Yes,55,43442.04,789.8552727
T1000141,288,S3,L2,R3,2018/1/1,1,Yes,63,41983.2,666.4
T1000142,287,S1,L4,R1,2018/1/1,1,Yes,23,16850.4,732.626087
T1000143,294,S4,L2,R2,2018/1/1,1,Yes,41,36144.9,881.5829268
T1000144,286,S4,L2,R4,2018/1/1,1,Yes,42,35249.76,839.28
T1000145,284,S4,L2,R3,2018/1/1,1,Yes,77,53572.68,695.7490909
T1000146,283,S4,L1,R1,2018/1/1,1,Yes,55,53277.6,968.6836364
T1000147,282,S1,L2,R2,2018/1/1,1,Yes,64,45432.54,709.8834375
T1000148,281,S1,L4,R1,2018/1/1,1,Yes,88,59092.8,671.5090909
T1000149,8,S4,L2,R2,2018/1/1,1,Yes,65,49684.68,764.3796923
T1000150,280,S4,L2,R2,2018/1/1,1,Yes,31,26525.73,855.6687097
T1000151,279,S2,L3,R2,2018/1/1,1,Yes,70,48253.02,689.3288571
T1000152,278,S4,L1,R4,2018/1/1,1,Yes,53,39731.55,749.6518868
T1000153,285,S1,L3,R3,2018/1/1,1,Yes,76,61181.01,805.0132895
T1000154,295,S1,L1,R1,2018/1/1,1,Yes,97,64724.1,667.2587629
T1000155,296,S1,L1,R1,2018/1/1,1,Yes,32,26532,829.125
T1000156,297,S2,L3,R4,2018/1/1,1,Yes,41,31630.8,771.4829268
T1000157,315,S4,L2,R1,2018/1/1,1,Yes,55,45684,830.6181818
T1000158,314,S1,L1,R2,2018/1/1,1,Yes,34,24284.91,714.2620588
T1000159,313,S1,L3,R1,2018/1/1,1,Yes,113,74332.08,657.8060177
T1000160,312,S4,L2,R1,2018/1/1,1,Yes,83,57937.32,698.04
T1000161,311,S4,L2,R2,2018/1/1,1,Yes,30,22129.8,737.66
T1000162,310,S2,L5,R1,2018/1/1,1,Yes,55,35416.62,643.9385455
T1000163,309,S1,L5,R1,2018/1/1,1,Yes,78,60653.79,777.6126923
T1000164,308,S4,L2,R3,2018/1/1,1,Yes,54,39982.38,740.4144444
T1000165,307,S1,L5,R2,2018/1/1,1,Yes,33,26598.78,806.0236364
T1000166,306,S1,L3,R2,2018/1/1,1,Yes,79,54236.82,686.5420253
T1000167,305,S4,L1,R1,2018/1/1,1,Yes,41,32378.4,789.7170732
T1000168,6,S4,L1,R1,2018/1/1,1,Yes,50,37234.26,744.6852
T1000169,304,S1,L1,R4,2018/1/1,1,Yes,108,74182.08,686.8711111
T1000170,303,S4,L2,R1,2018/1/1,1,Yes,49,34946.1,713.1857143
T1000171,302,S1,L4,R2,2018/1/1,1,Yes,46,32770.05,712.3923913
T1000172,301,S1,L3,R2,2018/1/1,1,Yes,40,34352.01,858.80025
T1000173,300,S2,L5,R2,2018/1/1,1,Yes,37,33767.61,912.6381081
T1000174,299,S1,L1,R3,2018/1/1,1,Yes,88,52939.02,601.5797727
T1000175,298,S4,L1,R1,2018/1/1,1,Yes,43,35399.43,823.2425581
T1000176,276,S1,L1,R2,2018/1/1,1,Yes,47,32897.34,699.9434043
T1000177,194,S1,L1,R2,2018/1/1,1,Yes,36,32739.84,909.44
