ID,Store_id,Store_Type,Location_Type,Region_Code,date,holiday,discount,order,sales,price
T1000001,1,S1,L3,R1,2018-01-01,1,Yes,9,7011.84,779.0933333
T1000002,253,S4,L2,R1,2018-01-01,1,Yes,60,51789.12,863.152
T1000003,252,S3,L2,R1,2018-01-01,1,Yes,42,36868.2,877.8142857
T1000004,251,S2,L3,R1,2018-01-01,1,Yes,23,19715.16,857.1808696
T1000005,250,S2,L3,R4,2018-01-01,1,Yes,62,45614.52,735.7180645
T1000006,249,S1,L3,R2,2018-01-01,1,Yes,39,34211.22,877.2107692
T1000007,248,S1,L1,R2,2018-01-01,1,Yes,40,35352.66,883.8165
T1000008,247,S1,L1,R3,2018-01-01,1,Yes,64,52650.0,822.65625
T1000009,246,S3,L1,R3,2018-01-01,1,Yes,62,42633.78,687.6416129
T1000010,254,S4,L1,R1,2018-01-01,1,Yes,87,62572.8,719.2275862
T1000011,245,S4,L1,R2,2018-01-01,1,Yes,36,27468.21,763.0058333
T1000012,11,S4,L2,R1,2018-01-01,1,Yes,69,57590.4,834.6434783
T1000013,243,S4,L2,R2,2018-01-01,1,Yes,69,45563.25,660.3369565
T1000015,241,S1,L1,R4,2018-01-01,1,Yes,56,42889.89,765.8908929
T1000016,240,S3,L2,R3,2018-01-01,1,Yes,59,44319.33,751.1750847
T1000017,239,S3,L1,R3,2018-01-01,1,Yes,35,29781.84,850.9097143
T1000019,237,S2,L3,R3,2018-01-01,1,Yes,55,44858.67,815.6121818
T1000020,244,S2,L5,R4,2018-01-01,1,Yes,46,39193.2,852.026087
T1000022,255,S3,L2,R4,2018-01-01,1,Yes,63,47317.14,751.0657143
T1000023,256,S1,L2,R4,2018-01-01,1,Yes,78,69937.98,896.6407692
T1000024,273,S2,L3,R4,2018-01-01,1,Yes,42,31509.72,750.2314286
T1000025,272,S2,L4,R2,2018-01-01,1,Yes,48,33665.1,701.35625
T1000026,271,S1,L3,R2,2018-01-01,1,Yes,38,32686.08,860.16
T1000027,270,S1,L1,R2,2018-01-01,1,Yes,36,25696.5,713.7916667
T1000028,269,S1,L4,R1,2018-01-01,1,Yes,48,40115.7,835.74375
T1000029,268,S1,L2,R1,2018-01-01,1,Yes,75,57487.56,766.5008
T1000030,9,S1,L1,R1,2018-01-01,1,Yes,91,68205.15,749.5071429
T1000031,267,S4,L2,R1,2018-01-01,1,Yes,49,38205.6,779.7061224
T1000033,266,S1,L1,R4,2018-01-01,1,Yes,26,20329.92,781.92
T1000034,264,S3,L1,R3,2018-01-01,1,Yes,59,37365.6,633.3152542
T1000035,263,S1,L5,R1,2018-01-01,1,Yes,38,32964.75,867.4934211
T1000036,262,S1,L1,R1,2018-01-01,1,Yes,75,60220.8,802.944
T1000037,261,S4,L2,R1,2018-01-01,1,Yes,36,30555.72,848.77
T1000038,260,S1,L1,R4,2018-01-01,1,Yes,68,45532.8,669.6
T1000039,259,S4,L1,R1,2018-01-01,1,Yes,27,23307.0,863.2222222
T1000040,258,S2,L4,R4,2018-01-01,1,Yes,56,47018.07,839.6083929
T1000042,265,S2,L4,R2,2018-01-01,1,Yes,59,49953.75,846.6737288
T1000043,235,S1,L1,R3,2018-01-01,1,Yes,25,19381.86,775.2744
T1000044,234,S2,L4,R2,2018-01-01,1,Yes,29,20883.42,720.117931
T1000045,233,S1,L3,R3,2018-01-01,1,Yes,37,29574.12,799.3005405
T1000046,211,S4,L2,R1,2018-01-01,1,Yes,48,34419.6,717.075
T1000047,210,S1,L5,R1,2018-01-01,1,Yes,49,42340.38,864.0893878
T1000048,209,S1,L1,R1,2018-01-01,1,Yes,45,30317.16,673.7146667
T1000049,208,S3,L1,R1,2018-01-01,1,Yes,36,30996.0,861.0
T1000050,207,S1,L1,R3,2018-01-01,1,Yes,56,44996.4,803.5071429
T1000051,14,S3,L2,R4,2018-01-01,1,Yes,94,65685.87,698.7858511
T1000052,206,S1,L1,R1,2018-01-01,1,Yes,53,43776.72,825.9758491
T1000053,205,S1,L1,R2,2018-01-01,1,Yes,62,44984.79,725.561129
T1000054,212,S4,L2,R3,2018-01-01,1,Yes,73,48184.02,660.0550685
T1000055,204,S4,L1,R3,2018-01-01,1,Yes,29,22662.12,781.4524138
T1000056,202,S4,L2,R2,2018-01-01,1,Yes,91,59368.38,652.3997802
T1000058,200,S2,L1,R2,2018-01-01,1,Yes,35,30574.44,873.5554286
T1000059,199,S1,L1,R4,2018-01-01,1,Yes,78,60523.86,775.9469231
T1000060,198,S4,L2,R3,2018-01-01,1,Yes,36,29214.57,811.5158333
T1000062,196,S1,L1,R3,2018-01-01,1,Yes,89,62712.57,704.635618
T1000063,195,S4,L1,R1,2018-01-01,1,Yes,53,44147.16,832.965283
T1000064,203,S2,L4,R2,2018-01-01,1,Yes,66,54358.92,823.62
T1000065,213,S1,L1,R2,2018-01-01,1,Yes,74,52198.74,705.3883784
T1000066,214,S1,L1,R4,2018-01-01,1,Yes,47,34936.44,743.3285106
